net,sta,lat,long,elev
XJ,YMS,41.9437,94.0015,1014.0
XJ,GAZ,43.5281,88.5839,1820.0
XJ,FUY,46.9668,89.628,966.0
XJ,ALT,47.8247,88.1274,871.0
XJ,SSH,42.173,91.2583,1014.4
XJ,HBH,48.2312,86.5519,1002.0
XJ,YCH,37.3898,77.3608,2000.0
XJ,HTTZ7,37.1506,79.0575,1578.0
XJ,ZSU,42.6759,80.3672,1842.0
XJ,WMQ,43.8137,87.7043,970.0
XJ,HTTZ3,37.1695,79.0586,1578.0
XJ,TAZ,38.4516,80.8519,1191.7
XJ,YPH,39.209,76.737,1189.0
XJ,HTTZ0,37.1641,79.0595,1578.0
XJ,WSU,44.1234,84.6408,1830.0
XJ,HEF,46.7701,85.7681,1224.0
XJ,LSG,45.5809,84.2746,1250.0
XJ,BLT,42.9447,86.6591,2679.0
XJ,KMS,42.2682,88.1732,1006.0
XJ,DSZ,44.2911,84.8635,932.6
XJ,HTTZ8,37.1616,79.0429,1578.0
XJ,KSH,39.1453,75.5662,1523.0
XJ,TCH,43.8898,88.0878,2580.0
XJ,YJS,38.5213,76.4861,1603.0
XJ,SSL,36.3328,78.1129,3784.7
XJ,BAC,41.8591,81.624,1543.0
XJ,HTB,44.0873,86.584,928.0
XJ,YWU,43.2325,94.6518,1800.0
XJ,YUM,46.002,82.681,1312.3
XJ,WSX,38.6864,87.3193,970.0
XJ,WUS,41.2014,79.2164,1457.0
XJ,HTTZ6,37.1586,79.0749,1578.0
XJ,XQG,42.0918,86.0239,1402.2
XJ,KSZ,39.5907,75.9415,1582.0
XJ,QHE,46.491,90.7302,1321.0
XJ,BPM,39.8827,76.836,1325.0
XJ,YUT,36.4294,81.9966,2147.0
XJ,BTS,45.2861,90.5142,1720.0
XJ,TAC,46.9377,83.1668,951.0
XJ,XNY,43.5643,83.303,1045.0
XJ,SMY,41.6379,79.7313,2144.0
XJ,TAG,37.778,75.169,3282.0
XJ,RUQ,38.974,88.8382,1390.0
XJ,SHZ,44.2135,85.8634,520.0
XJ,HTTZ9,37.1763,79.0522,1578.0
XJ,AKS,41.1446,80.1094,1138.0
XJ,KUC,41.8531,82.8572,1214.0
LN,GAX,40.419,122.367,59.0
LN,LYN,41.1889,123.2572,112.8
LN,TIL,42.2675,123.914,97.0
LN,BEP,41.7887,120.7076,265.0
LN,BZH,41.5991,121.7641,104.0
LN,JZH,41.08,121.14,60.5
LN,DLD,39.7554,123.7317,106.0
LN,HSH,39.5373,121.274,308.0
LN,DDO,40.1456,124.391,72.4
LN,FXI,42.0527,121.599,204.3
LN,SHS,40.7219,120.966,65.0
LN,HUR,41.278,125.3543,296.0
LN,XFN,42.7427,124.7109,212.0
LN,LHT,41.83,123.95,110.0
LN,DL2,38.906,121.628,65.0
LN,CHY,41.575,120.487,208.0
LN,HXQ,42.5847,122.772,191.5
LN,SNY,41.8278,123.578,54.0
LN,XYN,40.2967,123.322,130.0
LN,BXI,41.27,123.78,24.4
LN,WFD,39.5781,121.7642,108.0
LN,FKU,42.5092,123.398,177.0
LN,FSH,41.897,123.922,126.0
LN,LYA,41.2187,119.3823,443.0
LN,JCA,40.8286,119.8769,429.0
LN,XMN,42.07,122.87,88.0
LN,SUZ,40.3766,120.244,40.0
LN,KDN,40.741,124.78,321.0
LN,ANS,41.105,123.013,112.3
LN,GSH,41.31,122.26,26.0
LN,MQI,41.787,124.641,312.0
LN,GUS,39.8996,123.595,26.0
LN,NAP,41.089,120.758,106.0
LN,YKO,40.68,122.6032,80.0
LN,H58,40.9866,122.256,43.0
LN,JIP,41.8029,119.4501,603.9
LN,QYU,42.0805,124.933,318.9
BJ,NKY,39.6917,115.9733,70.0
BJ,ZKD,39.6881,115.9222,120.0
BJ,TST,40.5371,117.1276,180.0
BJ,SSL,40.251,116.2252,101.0
BJ,XIJ,39.83,116.8835,30.0
BJ,NLS,40.2101,116.6549,42.0
BJ,DSQ,40.0811,116.4264,30.0
BJ,DAX,39.7044,116.4081,37.0
BJ,LLM,40.6294,116.6376,314.0
BJ,LBG,40.8994,116.5956,510.0
BJ,LBP,40.5714,116.2055,583.0
BJ,MDY,40.3944,116.5602,200.0
BJ,ZHT,39.9618,115.6798,463.0
BJ,NSC,40.1397,117.2544,100.0
BJ,LQS,40.1017,116.0817,200.0
BJ,SFS,39.6611,115.8138,174.0
BJ,JIZ,40.0027,116.5623,37.0
BJ,MIY,40.4667,116.8333,107.0
BJ,CIQ,39.7864,116.5668,26.0
BJ,SZL,40.3072,117.2169,1060.0
BJ,YAZ,40.1531,116.825,42.0
BJ,TIT,39.8856,116.4059,53.0
BJ,BBS,39.9139,116.2411,58.0
BJ,XBZ,40.3428,115.9694,707.0
BJ,FHY,39.6153,116.6852,21.0
BJ,MAF,40.0458,116.9977,32.0
YN,LUS,25.8317,98.8518,861.0
YN,MEL,22.3365,99.5796,934.0
YN,TOH,24.1128,102.7881,1849.0
YN,YIM,24.7002,102.144,1667.0
YN,HUP,26.5871,101.1993,1193.0
